sequence,score1,score2,score3,risk,finance,Value,personal,index
1,0.009,133.215492,0,0,0.45,3,0,5
2,0.026,125.168987,0,0,0.55,1,3,4
3,0.163,98.977222,0,0,8.15,3,0,-1
4,3.076,196.565432,0,3,0.8,1,0,5
5,3.049,94.210864,0,3,0.2,2,0,5
6,0.006,203.633199,0,0,0.3,1,0,5
7,0.013,128.309684,0,0,0.65,2,0,5
8,0.002,191.729224,0,0,0.1,1,0,6
9,0.021,166.291099,0,0,1.05,3,0,6
10,0.016,191.798824,0,0,0.8,2,0,5
11,0.016,196.635032,0,0,0.8,2,0,5
12,3.061,196.635032,0,3,0.8,3,0,5
13,0.011,166.291099,0,0,0.55,2,0,5
14,0.006,164.104015,0,0,0.3,1,0,6
15,3.069,95.917867,0,3,1.2,1,0,4
16,3.054,163.559425,0,3,0.45,2,0,5
17,0.039,149.398313,0,0,1.95,2,0,5
18,3.066,166.291099,0,3,0.3,2,0,5
19,0.016,196.635032,0,0,0.8,3,0,6
20,0.019,138.096175,0,0,0.95,2,0,4
21,0.029,102.916034,0,0,0.7,1,3,4
22,0.019,196.565432,0,0,0.95,1,0,4
23,3.099,144.562105,0,3,2.7,3,0,4
24,0.016,164.104015,0,0,0.8,3,0,4
25,3.144,77.932268,0,3,3.45,1,0,3
26,4.074,196.635032,0,4,1.2,2,10,5
27,0.017,196.635032,0,0,0.85,3,0,5
28,0.024,128.379284,0,0,1.2,2,0,4
29,0.044,152.129987,0,0,2.2,3,0,4
30,0.047,121.830529,0,0,2.35,1,0,4
31,3.173,157.121369,0,3,0.65,2,8,5
32,0.02,117.405377,0,0,1,3,0,5
33,0.01,133.215492,0,0,0.5,3,0,5
34,0.016,166.291099,0,0,0.8,3,0,5
35,0.022,159.225903,0,0,0.35,2,3,5
36,0.029,100.684475,0,0,0.7,2,3,4
37,4.075,140.827849,0,4,1.25,1,10,3
38,0.049,149.398313,0,0,2.45,2,0,6
39,0.017,133.829682,0,0,0.85,2,0,4
40,4.022,196.635032,0,4,0.35,3,3,5
41,0.007,163.559425,0,0,0.35,3,0,6
42,0.033,133.215492,0,0,0.9,1,3,4
43,0.014,203.633199,0,0,0.7,3,0,4
44,3.132,128.993474,0,3,1.35,3,0,4
